#SampleID	#Abx
#q2:types	categorical
SRR20140307	pre
SRR20140308	pre
SRR20140309	pre
SRR20140310	pre
SRR20140311	pre
SRR20140312	pre
SRR20140313	pre
SRR20140314	post
SRR20140315	post
SRR20140316	post
SRR20140317	post
SRR20140318	post
SRR20140319	post
SRR20140320	post
SRR20140321	post
SRR20140322	post
SRR20140323	post
SRR20140324	pre
SRR20140325	post
SRR20140326	post
SRR20140327	post
SRR20140328	post
SRR20140330	pre
SRR20140331	pre
SRR20140332	pre
SRR20140333	pre
SRR20140335	pre
SRR20140336	pre
